IndexTotAedesMale1,IndexTotAedesMale2,IndexTotAedesMale3,IndexTotAedesMale4,IndexTotAedesMale5,IndexTotAedesMale6,IndexTotAedesMale7,IndexTotAedesMale8,IndexTotAedesMale9,IndexTotAedesMale10,IndexTotAedesMale11,IndexTotAedesMale12,IndexTotAedesMale13,IndexTotAedesMale14,IndexTotAedesMale15,IndexTotAedesMale16,IndexTotAedesMale17,IndexTotAedesMale18,IndexTotAedesMale19,IndexTotAedesMale20,IndexTotAedesMale21,IndexTotAedesMale22,IndexTotAedesMale23,IndexTotAedesMale24,IndexTotAedesMale25,IndexTotAedesMale26,IndexTotAedesMale27,IndexTotAedesMale28,IndexTotAedesMale29,IndexTotAedesMale30,IndexTotAedesMale31,IndexTotAedesMale32,IndexTotAedesMale33,IndexTotAedesMale34,IndexTotAedesMale35,IndexTotAedesMale36,IndexTotAedesMale37,IndexTotAedesMale38,IndexTotAedesMale39,IndexTotAedesMale40,IndexTotAedesMale41,IndexTotAedesMale42,IndexTotAedesMale43,IndexTotAedesMale44,IndexTotAedesMale45,IndexTotAedesMale46,IndexTotAedesMale47,IndexTotAedesMale48,IndexTotAedesMale49,IndexTotAedesMale50,IndexTotAedesMale51,IndexTotAedesMale52,IndexTotAedesMale53,IndexTotAedesMale54,IndexTotAedesMale55,IndexTotAedesMale56,IndexTotAedesMale57,IndexTotAedesMale58,IndexTotAedesMale59,IndexTotAedesMale60,IndexTotAedesMale61,IndexTotAedesMale62,IndexTotAedesMale63,IndexTotAedesMale64,IndexTotAedesMale65
524.482813421587,273,1372,13,NaN,53.740538060753,0,43.5849494934082,0.305135726928711,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.50851697024464,0.0114011755311918,0.000593378762345499,0.0111420992214014,0.00242918277816737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898100972175598,1,0,557.964115290737,7.21489953994751,5.96138763427734,0.184053719043732,0.059649221599102,-0.00369339110329747,0.00421523069962859,-0.019987678155303,-0.0267808604985476,-0.0449248589575291,-0.113986223936081,-0.107782639563084,-0.0855513960123062,0.0139910932630301,0.0891573205590248,0,0,0,15.5301911894859,3.38586762059018
503.983485156301,273,1380,21,NaN,78.6446898450044,0,32.6962928771973,0.222652018070221,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.57290747125077,0.0111400267086088,0.000764239113442305,0.0118296995060518,0.00192011958279181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898585379123688,1,0,535.444569721454,7.37075042724609,5.91261148452759,0.177986294031143,0.0396783277392387,-0.00252281874418259,-0.0545669943094254,-0.0164428818970919,-0.0142403552308679,0.0383575931191444,-0.0416360571980476,-0.111313492059708,-0.117840394377708,-0.0843648016452789,0.0311806220561266,0,0,0,16.4797004110139,2.67487736789443
481.484222426109,273,1381,22,NaN,174.984434905135,0,28.2582740783691,0.144461035728455,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.47062489906554,0.0130014959444231,0.00104316221070329,0.00927863678791457,0.00153193814266059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896129250526428,1,0,510.780499451096,8.15601634979248,5.96518278121948,0.157184183597565,-0.00296123838052154,-0.061126284301281,-0.048562578856945,0.0167188253253698,0.0589350052177906,0.0483973287045956,-0.0152167081832886,-0.11164865642786,-0.170054987072945,-0.108393959701061,0.00839108787477016,0,0,0,12.9612971837358,2.1399593483373
589.980667147257,273,1382,23,NaN,116.328603729069,0,23.4765205383301,0.177486956119537,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.13082217704004,0.00820243918321231,0.00051055550642233,0.0113370744511485,0.00167287824054559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898920714855194,1,0,630.213407351421,6.90669727325439,5.88958883285522,0.0590623021125793,-0.0114985592663288,-0.0297684594988823,0.0146567346528172,0.00111995183397084,-0.0285968631505966,-0.0680384486913681,-0.0982762351632118,-0.0344394780695438,0.0955653563141823,0.113166861236095,0.0649566352367401,0,0,0,15.7875433989012,2.32958140457616
608.480060947637,273,1385,26,NaN,73.0740243143166,0,30.1556301116943,0.162806004285812,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9905572383614,0.010230414702424,0.000573046952112801,0.00956236162101445,0.00171227351276447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899169325828552,1,0,650.699299089231,7.3842134475708,7.12752199172974,0.121225297451019,-0.0220729820430279,-0.0536866448819637,-0.00505536701530218,0.0572474636137486,0.0464861281216145,-0.0638931915163994,-0.131804645061493,-0.0417539365589619,0.106274031102657,0.132355645298958,0.0437806695699692,0,0,0,13.3124695575617,2.38378236635628
451.48520545252,273,1388,29,NaN,56.3620277222532,0,24.9151954650879,0.139100551605225,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.53599470133718,0.0100988687118354,0.000771113734743149,0.0110749665958186,0.00180401614246269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899416148662567,1,0,477.982429485246,7.03261709213257,5.84067010879517,0.157634273171425,0.0415105856955051,-0.0350269973278046,-0.0443185716867447,-0.0294226016849279,0.00473913969472051,0.016180420294404,-0.0156586468219757,-0.0468556620180607,-0.0865657851099968,-0.127475574612617,-0.0840763598680496,0,0,0,15.4140474409549,2.51081483303679
587.980732682351,275,1399,5,NaN,64.5541829144411,0,29.021520614624,0.237315326929092,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.84223779726716,0.0106879045264889,0.00102229158553491,0.00454217598307878,0.00199632217409089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900624573230743,1,2,625.499529712414,7.8797025680542,6.7529411315918,0.0926476418972015,0.00841880217194557,-0.0226826164871454,-0.021851496770978,-0.00760022178292274,-0.0406801104545593,-0.0823879167437553,-0.100200951099396,-0.00941637251526117,0.107093140482903,0.132838740944862,0.0705491080880165,0,0,0,6.31328087709335,2.77473674581465
567.981388033292,278,1411,1,NaN,70.780220860504,0,23.0366230010986,0.135141000151634,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.27688775489019,0.00809110697315392,0.000487285734579612,0.00527461601251906,0.00139867430235344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904323995113373,1,0,603.527217346844,7.51584434509277,7.12196207046509,0.118966601788998,0.0114687168970704,-0.0310050621628761,0.00604149699211121,0.0522420667111874,-0.00490328436717391,-0.0663367882370949,-0.0775532871484756,-0.0430903285741806,0.0160713568329811,0.0592782907187939,0.0453378446400166,0,0,0,7.30132602933264,1.93609867829122
495.983747296677,278,1412,2,NaN,60.9496346298784,0,29.1989402770996,0.200861126184464,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.61541792370231,0.00700562071916772,0.00116244669693798,0.00903828540130665,0.0019678365512702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905781209468842,1,0,524.750960766838,7.09251689910889,6.59571266174316,0.169930443167686,0.0782702937722206,-0.00483556976541877,0.00753937708213925,0.011403126642108,0.0203325152397156,-0.0288333799690008,-0.0768946409225464,-0.066078782081604,-0.0992656275629997,-0.0361508764326572,0.0231982115656137,0,0,0,12.4910138862236,2.71957263975984
583.98086375254,278,1413,3,NaN,68.8141036143789,0,19.8413696289062,0.106858626008034,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0754350305493,0.00721836524190143,0.000441802674852398,0.0108243957427996,0.00157063326332718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904703855514526,1,0,618.627264945387,6.96362829208374,6.08170747756958,0.102027289569378,0.0452377125620842,0.0280253756791353,0.0287632681429386,0.0271317418664694,0.0314973145723343,-0.00325666414573789,-0.110866248607635,-0.0434399321675301,0.05100492015481,0.0875033959746361,0.0667133703827858,0,0,0,14.9772530626945,2.17321801719833
